free_agent_players, average_salary ,pts,3pts,ast,reb,stl,blk,to,playerscoreindex
Kyle O'Quinn,0.00,3.5,0.2,1.8,4,0.2,0.8,0.7,9.8
Ante Zizic,0.00,4.4,0,0.3,3,0.3,0.2,0.5,7.7
Shabazz Napier,0.00,10.3,1.4,4.7,2.8,1.2,0.2,2.3,18.3
Jacob Evans,0.00,4.4,0.4,1.1,1.4,0.4,0.4,0.9,7.2
Caleb Swanigan,0.00,2.4,0,1.1,3.7,0.1,0.3,1.4,6.2
Emmanuel Mudiay,0.00,7.3,0.6,2.1,2.3,0.4,0.2,1.4,11.5
Furkan Korkmaz,0.00,9.8,2,1.1,2.3,0.6,0.2,0.8,15.2
Cheick Diallo,0.00,4.7,0,0.5,2.8,0.2,0.3,0.7,7.8
Skal Labissiere,0.00,5.8,0.1,1.3,5.1,0.2,0.9,0.9,12.5
Treveon Graham,0.00,4.4,0.6,0.8,2.7,0.4,0.1,0.5,8.5
Joakim Noah,0.00,2.8,0,1.4,3.2,0.2,0.2,1.2,6.6
Brad Wanamaker,0.00,6.9,0.5,2.5,2,0.9,0.2,1.1,11.9
Theo Pinson,0.00,3.6,0.5,1.7,1.6,0.5,0.1,1,7
Elie Okobo,0.00,4,0.5,2.1,1.6,0.4,0.1,0.7,8
Nando De Colo,0.00,0,0,0,0,0,0,0,0
Dewan Hernandez,0.00,2.3,0.2,0.5,2.3,0.2,0,0.5,5
David Nwaba,0.00,5.2,0.6,0.4,2.2,0.6,0.6,0.4,9.2
Wesley Iwundu,0.00,5.8,0.5,1.2,2.5,0.5,0.2,0.5,10.2
Keita Bates-Diop,0.00,6.5,0.8,0.7,2.9,0.4,0.5,0.4,11.4
Khyri Thomas,0.00,2.1,0.6,0.4,0.1,0.4,0,0.4,3.2
P.J. Dozier,0.00,5.8,0.6,2.2,1.9,0.5,0.2,0.9,10.3
Sterling Brown,0.00,5.1,0.8,1,3.5,0.6,0.1,0.8,10.3
Timothe Luwawu-Cabarrot,0.00,7.8,1.3,0.6,2.7,0.4,0.1,0.8,12.1
Melvin Frazier,0.00,2.1,0.4,0.2,0.5,0.5,0.1,0.3,3.5
Dean Wade,0.00,1.7,0.2,0.2,1.6,0.2,0.3,0.2,4
Ky Bowman,0.00,7.4,0.7,2.9,2.7,1,0.2,1.6,13.3
Bruno Caboclo,0.00,3,0.2,0.4,2,0.5,0.6,0.4,6.3
Alize Johnson,0.00,2,0.2,0.4,2.8,0.2,0.1,0.4,5.3
Gary Payton II,0.00,3.9,0.4,1.7,2.8,1.1,0.2,0.7,9.4
Rayjon Tucker,0.00,3.1,0.1,0.2,1,0.1,0.1,0.4,4.2
Malcolm Miller,0.00,1.2,0.3,0.4,0.6,0.2,0.1,0.1,2.7
Jordan Bell,0.00,3.2,0.1,0.6,2.8,0.1,0.3,0.7,6.4
Marvin Williams,0.00,5.9,1,1,3.2,0.6,0.5,0.6,11.6
Norvel Pelle,0.00,2.4,0,0.3,3,0.1,1.3,0.8,6.3
Shaquille Harrison,0.00,4.9,0.4,1.1,2,0.8,0.4,0.4,9.2
Jordan McRae,0.00,11.5,1.2,2.5,3.4,0.6,0.4,1.2,18.4
DeMarre Carroll,0.00,3.6,0.3,1,2.3,0.3,0.2,0.7,7
Michael Kidd-Gilchrist,0.00,2.4,0.2,0.6,2.7,0.1,0.2,0.6,5.6
Nik Stauskas,0.00,0,0,0,0,0,0,0,0
Dion Waiters,0.00,11.1,1.5,2,2.4,0.4,0.6,1.6,16.4
Corey Brewer,0.00,1,0,0.4,1.6,0.8,0,0.4,3.4
